No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier
1	1	15pF	C1	C0402	15pF	0402CG150J500NT	FH(风华)	C1548	LCSC
2	3	100nF	C2,C13,C23	C0402	100nF	CL05B104KO5NNNC	SAMSUNG(三星)	C1525	LCSC
3	5	1uF	C6,C7,C8,C9,C22	C0402	1uF	CL05A105KA5NQNC	SAMSUNG(三星)	C52923	LCSC
4	3	10uF	C16,C17,C18	C0603	10uF	CL10A106KP8NNNC	SAMSUNG(三星)	C19702	LCSC
5	2	1000uF	C20,C21	CAP-TH_BD6.3-P2.50-D1.0-FD	1000uF	SPZ0JM102E10O00RAXXX	AISHI(艾华集团)	C112521	LCSC
6	2	EX	EX1,EX2	C1206	EX	TCC1206X7R102K102DTS	CCTC(三环)		LCSC
7	1	FH12-24S-0.5SH(55)	FPC1	FPC-SMD_FH12-24S-0.5SH-55		FH12-24S-0.5SH(55)	HRS(广濑)	C202112	LCSC
8	1	PZ254V-11-04P	H1	HDR-TH_4P-P2.54-V-M		PZ254V-11-04P	XFCN(兴飞)	C2691448	LCSC
9	1	4.7uH	L1	IND-SMD_L2.5-W2.0-VLS252012CX-150M	4.7uH	FTC252010S4R7MBCA	cjiang(长江微电)	C5832360	LCSC
10	1	KT-0603R	LED1	LED-SMD_L1.6-W0.8-R-RD		KT-0603R	KENTO	C2286	LCSC
11	1	16kΩ	R3	R0805	16kΩ	0805W8F1602T5E	UNI-ROYAL(厚声)	C17490	LCSC
12	1	82kΩ	R9	R0805	82kΩ	0805W8F8202T5E	UNI-ROYAL(厚声)	C17840	LCSC
13	1	470kΩ	R10	R0805	470kΩ	0805W8F4703T5E	UNI-ROYAL(厚声)	C17709	LCSC
14	1	1kΩ	R11	R1206	1kΩ	1206W4F1001T5E	UNI-ROYAL(厚声)	C4410	LCSC
15	1	4.7kΩ	RN1	RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL	4.7kΩ	4D03WGJ0472T5E	UNI-ROYAL(厚声)	C1980	LCSC
16	1	RT6150AGQW	U3	WDFN-10_L3.0-W3.0-P0.50-BL-EP		RT6150AGQW	RICHTEK(立锜)	C147971	LCSC
17	1	ME6211C12M5G-N	U7	SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL		ME6211C12M5G-N	MICRONE(南京微盟)	C236672	LCSC
18	1	ME6211C28M5G-N	U8	SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR		ME6211C28M5G-N	MICRONE(南京微盟)	C53099	LCSC
19	1	E22-900M22S	U11	WIRELM-SMD_E22-900M22S		E22-900M22S	EBYTE(亿佰特)	C411293	LCSC
20	1	MAX809STRG-TP	U13	SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR		MAX809STRG-TP	TECH PUBLIC(台舟)	C52817138	LCSC
21	1	ATGM336H-5NR32	U15	GPS-SMD_18P-L10.1-W9.7-P1.10-TL		ATGM336H-5NR32	杭州中科微	C5117921	LCSC
22	1	SI5351A-B-GTR	U16	MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL		SI5351A-B-GTR	SKYWORKS/SILICON LABS(芯科)	C504891	LCSC
23	1	2.4GHz	U17	WIRELM-SMD_ESP32-S3-WROOM-1U	2.4GHz	ESP32-S3-WROOM-1U-N16R2	ESPRESSIF(乐鑫)	C3013945	LCSC
24	1	26MHz	X1	OSC-SMD_4P-L2.5-W2.0-BL_X1G0042110003	26MHz	X1G0042110003	EPSON(爱普生)	C3013793	LCSC
